IP地址,端口,TLS,数据中心,源IP位置,地区,城市,地区(中文),国家,城市(中文),国旗,网络延迟,下载速度
61.231.1.111,12109,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,168 ms,6021 kB/s
60.249.113.78,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,16 ms,5135 kB/s
36.224.179.229,11680,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,109 ms,4267 kB/s
36.224.70.6,13666,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,175 ms,4147 kB/s
114.41.211.137,11681,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,14 ms,4039 kB/s
114.25.179.143,16054,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,298 ms,3919 kB/s
111.250.206.132,16003,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,81 ms,3731 kB/s
111.253.219.197,443,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,38 ms,3350 kB/s
111.243.158.204,16098,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,299 ms,3341 kB/s
36.224.179.229,21230,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,190 ms,3294 kB/s
118.165.85.19,35101,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,110 ms,3169 kB/s
36.232.210.93,10032,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,175 ms,3136 kB/s
36.227.230.102,32746,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,203 ms,2734 kB/s
114.42.162.99,10030,true,SIN,SG,Asia Pacific,Singapore,亚洲,新加坡,新加坡,🇸🇬,85 ms,2425 kB/s
122.116.105.15,995,true,TPE,TW,Asia Pacific,Taipei,亚洲,台湾,台北,🇹🇼,574 ms,1691 kB/s
